"ID_на_сайте","Наименование","Ссылка","Промо_цена","Регулярная_цена","Бренд"
463551,"Чай Richard Royal Ceylon черный крупнолистовой, 180г",https://online.metro-cc.ru/products/richard-royal-ceylon-chernyj-180g,21900,31900,RICHARD
519720,"Чай Richard Royal Ceylon черный, 90г",https://online.metro-cc.ru/products/chernyj-richard-royal-ceylon-90g,11900,18900,RICHARD
495573,"Чай Richard Royal English Breakfast черный (2г x 100шт), 200г",https://online.metro-cc.ru/products/chernyj-richard-royal-english-breakfast-100x2g,27900,36900,RICHARD
517570,"Чай Richard Royal English Breakfast черный (2г х 25шт), 50г",https://online.metro-cc.ru/products/chernyj-richard-royal-english-breakfast-25-paketikov,8990,11300,RICHARD
8910089,"Чай Richard Royal Goji & Wild Strawberry ароматизированный (1.7г х 25шт), 42г",https://online.metro-cc.ru/products/chay-richard-godzhi-i-zemlyanika-paketirovannyy-25-x-17g,8990,11300,RICHARD
617382,"Чай Richard Royal Kenya черный крупнолистовой, 180г",https://online.metro-cc.ru/products/180g-richard-royal-kenya,21900,31900,RICHARD
8910084,"Чай Richard Royal Lemon ароматизированный (1.7г х 25шт), 42г",https://online.metro-cc.ru/products/chay-richard-royal-lemon-paketirovannyy-25-x-17g,8990,11300,RICHARD
265279095,"Чай Richard Royal Strawberry & Aloe Vera (1.5г x 25шт), 38г",https://online.metro-cc.ru/products/25h15g-chay-richard-zelenyy-klubnika-aloe-paketirovannyy,8990,11300,RICHARD
8910074,"Чай Richard Royal Tea Collection Набор, 230г",https://online.metro-cc.ru/products/chay-richard-royal-tea-collection-nabor-230g,58900,71900,RICHARD
237429037,"Чай Richard Tea №1 черный мята-цитрус (2г х 25шт), 50г",https://online.metro-cc.ru/products/25x2g-chay-richard-kings-tea-1-chyornyy-myatatsitrus,8990,11300,RICHARD
264788494,"Чай Richard черный персик-мята (1.7г x 25шт), 43г",https://online.metro-cc.ru/products/25h17g-chay-richard-chyornyy-persik-myata-paketirovannyy,8990,11300,RICHARD
596160982,"Чай Richman Оолонг манго-персик, 40г",https://online.metro-cc.ru/products/40g-chay-richman-oolong-mangopersik,12900,19500,RICHMAN
288672052,"Чай Riston Elite Ceylon черный листовой, 200г",https://online.metro-cc.ru/products/200g-chay-riston-elite-ceylon-chyornyy-listovoy,,25200,RISTON
289691642,"Чай Riston Elite English черный с зеленым листовой, 200г",https://online.metro-cc.ru/products/200g-chay-riston-elite-english-chyornyy-s-zelenym-list,22900,25200,RISTON
506058,"Чай Tess Kenya черный байховый (2г x 100шт), 200г",https://online.metro-cc.ru/products/tess-kenya-chernyj-bajhovyj-100-2g,23900,33900,TESS
463869,"Чай Tess Lime зеленый с цедрой цитрусовых (1.5г х 100шт), 150г",https://online.metro-cc.ru/products/tess-zelenyj-s-cedroj-citrusovyh-lime-100-15g,23900,33900,TESS
171916,"Чай Tess Pleasure Шиповник и яблоко черный байховый (1.5г х 100шт), 150г",https://online.metro-cc.ru/products/tess-chernyj-bajhovyj-shipovnik-yabloko-pleasure-100-15g,23900,33900,TESS
122018,"Чай Tess Pleasure с шиповником и яблоком черный, 200г",https://online.metro-cc.ru/products/tess-chernyj-shipovnik-yabloko-pleasure-200g,,29900,TESS
625592,"Чай Tess Pleasure черный с шиповником и яблоком (1.5г x 25шт), 38г",https://online.metro-cc.ru/products/25h15g-tess-pleasure-paketirovannyj,,11900,TESS
222242,"Чай Tess Sunrise цейлонский черный (1.8г х 100шт), 180г",https://online.metro-cc.ru/products/tess-chernyj-cejlonskij-sunrise-100x18g,23900,33900,TESS
